model,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted,roc_auc,pr_auc,mcc,brier,ece,acc_ci95_low,acc_ci95_high,macro_f1_ci95_low,macro_f1_ci95_high,mcc_ci95_low,mcc_ci95_high,mcnemar_p_vs_baseline,macro_f1_short,macro_f1_long,error_rate_short,error_rate_long,param_count,train_time_sec,examples_per_sec,peak_memory_mb,cm_path,ckpt
baseline,0.9043333333333333,0.904283550164557,0.904356344789045,0.9043118034891184,0.9043333333333333,0.9043333333333333,0.9043333333333333,0.9043582249177214,0.9043333333333333,0.9043376393021763,0.9647863685611914,0.9635959281350677,0.8086398916770772,0.071785107254982,0.01936613202591736,0.89365,0.9150166666666667,0.8936455556526882,0.9150042541155086,0.7873765560344778,0.8300117689013712,,0.9068923723335488,0.8982294767819868,0.09181636726546905,0.09953239812959247,1944302,10.596950054168701,7076.564447003307,0.0,task2_sentiment/sneha_singh/outputs/baseline_cm_full.png,task2_sentiment/sneha_singh/checkpoints/baseline_full.pt
experimental_a,0.885,0.8854942072350307,0.8846806365262345,0.8848695059811682,0.885,0.885,0.885,0.8853138883790059,0.885,0.8849392750605436,0.9546190743578696,0.9546379861198631,0.7701744140552782,0.08388935029506683,0.02780726464589437,0.8736583333333333,0.8950416666666667,0.8730504839903166,0.89493608130819,0.7466070133878795,0.790036511033677,0.0009602499332239026,0.8946014574479252,0.8710168839025463,0.10445775116433798,0.12558450233800933,2029350,439.32944893836975,170.69194924494985,0.0,task2_sentiment/sneha_singh/outputs/experimental_a_cm_full.png,task2_sentiment/sneha_singh/checkpoints/experimental_a_full.pt
experimental_b,0.896,0.8959743997155525,0.8960983358608189,0.8959881657646381,0.896,0.896,0.896,0.8961126412515695,0.896,0.8960081360368113,0.9597051666962317,0.9602893911844868,0.7920727258801858,0.07911068201065063,0.026379835827897,0.8849916666666667,0.9073583333333334,0.8849838783860874,0.9072438051347528,0.7700279790466831,0.8145263553784603,0.1298061984600565,0.8995182464655929,0.8890139194832285,0.09913506320691945,0.10888443553774219,2021478,11.92255687713623,6289.758209818867,0.0,task2_sentiment/sneha_singh/outputs/experimental_b_cm_full.png,task2_sentiment/sneha_singh/checkpoints/experimental_b_full.pt
